"","t","k"
"4",1000,5
"8",1001,5
"12",1002,5
"16",1003,5
"20",1004,5
"24",1005,5
"28",1006,5
"32",1007,5
"36",1008,5
"40",1009,5
"44",1010,5
"48",1011,5
"52",1012,5
"56",1013,5
"60",1014,5
"64",1015,5
"68",1016,5
"72",1017,5
"76",1018,5
"80",1019,5
"84",1020,5
"88",1021,5
"92",1022,5
"96",1023,5
"100",1024,5
"104",1025,5
"108",1026,5
"112",1027,5
"116",1028,5
"120",1029,5
"124",1030,5
"128",1031,5
"132",1032,5
"136",1033,5
"140",1034,5
"144",1035,5
"148",1036,5
"152",1037,5
"156",1038,5
"160",1039,5
"164",1040,5
"168",1041,5
"172",1042,5
"176",1043,5
"180",1044,5
"184",1045,5
"188",1046,5
"192",1047,5
"196",1048,5
"200",1049,5
"204",1050,5
"208",1051,5
"212",1052,5
"216",1053,5
"220",1054,5
"224",1055,5
"228",1056,5
"232",1057,5
"236",1058,5
"240",1059,5
"244",1060,5
"248",1061,5
"252",1062,5
"256",1063,5
"260",1064,5
"264",1065,5
"268",1066,5
"272",1067,5
"276",1068,5
"280",1069,5
"284",1070,5
"288",1071,5
"292",1072,5
"296",1073,5
"300",1074,5
"304",1075,5
"308",1076,5
"312",1077,5
"316",1078,5
"320",1079,5
"324",1080,5
"328",1081,5
"332",1082,5
"336",1083,5
"340",1084,5
"344",1085,5
"348",1086,5
"352",1087,5
"356",1088,5
"360",1089,5
"364",1090,5
"368",1091,5
"372",1092,5
"376",1093,5
"380",1094,5
"384",1095,5
"388",1096,5
"392",1097,5
"396",1098,5
"400",1099,5
"404",1100,5
"408",1101,5
"412",1102,5
"416",1103,5
"420",1104,5
"424",1105,5
"428",1106,5
"432",1107,5
"436",1108,5
"440",1109,5
"444",1110,5
"448",1111,5
"452",1112,5
"456",1113,5
"460",1114,5
"464",1115,5
"468",1116,5
"472",1117,5
"476",1118,5
"480",1119,5
"484",1120,5
"488",1121,5
"492",1122,5
"496",1123,5
"500",1124,5
"504",1125,5
"508",1126,5
"512",1127,5
"516",1128,5
"520",1129,6
"524",1130,6
"528",1131,6
"532",1132,6
"536",1133,6
"540",1134,6
"544",1135,6
"548",1136,6
"552",1137,6
"556",1138,6
"560",1139,6
"564",1140,6
"568",1141,6
"572",1142,6
"576",1143,6
"580",1144,6
"584",1145,6
"588",1146,6
"592",1147,6
"596",1148,6
"600",1149,6
"604",1150,6
"608",1151,6
"612",1152,6
"616",1153,6
"620",1154,6
"624",1155,6
"628",1156,6
"632",1157,6
"636",1158,6
"640",1159,6
"644",1160,6
"648",1161,6
"652",1162,6
"656",1163,6
"660",1164,6
"664",1165,6
"668",1166,6
"672",1167,6
"676",1168,6
"680",1169,6
"684",1170,6
"688",1171,6
"692",1172,6
"696",1173,6
"700",1174,6
"704",1175,6
"708",1176,6
"712",1177,6
"716",1178,6
"720",1179,6
"724",1180,6
"728",1181,6
"732",1182,6
"736",1183,6
"740",1184,6
"744",1185,6
"748",1186,6
"752",1187,6
"756",1188,6
"760",1189,6
"764",1190,6
"768",1191,6
"772",1192,6
"776",1193,6
"780",1194,6
"784",1195,6
"788",1196,6
"792",1197,6
"796",1198,6
"800",1199,6
"804",1200,6
"808",1201,6
"812",1202,6
"816",1203,6
"820",1204,7
"824",1205,7
"828",1206,7
"832",1207,7
"836",1208,7
"840",1209,7
"844",1210,7
"848",1211,7
"852",1212,7
"856",1213,7
"860",1214,7
"864",1215,7
"868",1216,7
"872",1217,7
"876",1218,7
"880",1219,7
"884",1220,7
"888",1221,7
"892",1222,7
"896",1223,7
"900",1224,7
"904",1225,7
"908",1226,7
"912",1227,7
"916",1228,8
"920",1229,8
"924",1230,8
"928",1231,8
"932",1232,8
"936",1233,8
"940",1234,8
"944",1235,8
"948",1236,8
"952",1237,8
"956",1238,8
"960",1239,8
"964",1240,8
"968",1241,8
"972",1242,8
"976",1243,8
"980",1244,8
"984",1245,8
"988",1246,8
"992",1247,8
"996",1248,8
"1000",1249,8
"1004",1250,8
"1008",1251,8
"1012",1252,8
"1016",1253,8
"1020",1254,8
"1024",1255,8
"1028",1256,8
"1032",1257,8
"1036",1258,8
"1040",1259,8
"1044",1260,8
"1048",1261,8
"1052",1262,8
"1056",1263,8
"1060",1264,8
"1064",1265,8
"1068",1266,8
"1072",1267,8
"1076",1268,8
"1080",1269,8
"1084",1270,8
"1088",1271,8
"1092",1272,8
"1096",1273,8
"1100",1274,8
"1104",1275,8
"1108",1276,8
"1112",1277,8
"1116",1278,8
"1120",1279,8
"1124",1280,8
"1128",1281,8
"1132",1282,8
"1136",1283,8
"1140",1284,8
"1144",1285,8
"1148",1286,8
"1152",1287,8
"1156",1288,8
"1160",1289,8
"1164",1290,8
"1168",1291,8
"1172",1292,8
"1176",1293,8
"1180",1294,8
"1184",1295,8
"1188",1296,8
"1192",1297,8
"1196",1298,8
"1200",1299,8
"1204",1300,8
"1208",1301,8
"1212",1302,8
"1216",1303,8
"1220",1304,8
"1224",1305,8
"1228",1306,8
"1232",1307,8
"1236",1308,8
"1240",1309,8
"1244",1310,8
"1248",1311,8
"1252",1312,8
"1256",1313,8
"1260",1314,8
"1264",1315,8
"1268",1316,8
"1272",1317,8
"1276",1318,8
"1280",1319,8
"1284",1320,8
"1288",1321,8
"1292",1322,8
"1296",1323,8
"1300",1324,8
"1304",1325,8
"1308",1326,8
"1312",1327,8
"1316",1328,8
"1320",1329,8
"1324",1330,8
"1328",1331,8
"1332",1332,8
"1336",1333,8
"1340",1334,8
"1344",1335,8
"1348",1336,8
"1352",1337,8
"1356",1338,8
"1360",1339,8
"1364",1340,8
"1368",1341,9
"1372",1342,9
"1376",1343,9
"1380",1344,9
"1384",1345,9
"1388",1346,9
"1392",1347,9
"1396",1348,9
"1400",1349,9
"1404",1350,9
"1408",1351,9
"1412",1352,9
"1416",1353,9
"1420",1354,9
"1424",1355,9
"1428",1356,9
"1432",1357,9
"1436",1358,9
"1440",1359,9
"1444",1360,9
"1448",1361,9
"1452",1362,9
"1456",1363,9
"1460",1364,9
"1464",1365,9
"1468",1366,9
"1472",1367,9
"1476",1368,9
"1480",1369,9
"1484",1370,9
"1488",1371,9
"1492",1372,9
"1496",1373,9
"1500",1374,9
"1504",1375,9
"1508",1376,9
"1512",1377,9
"1516",1378,9
"1520",1379,9
"1524",1380,9
"1528",1381,9
"1532",1382,9
"1536",1383,9
"1540",1384,9
"1544",1385,9
"1548",1386,9
"1552",1387,9
"1556",1388,9
"1560",1389,9
"1564",1390,9
"1568",1391,9
"1572",1392,9
"1576",1393,9
"1580",1394,9
"1584",1395,9
"1588",1396,9
"1592",1397,9
"1596",1398,9
"1600",1399,9
"1604",1400,9
"1608",1401,9
"1612",1402,9
"1616",1403,9
"1620",1404,9
"1624",1405,9
"1628",1406,9
"1632",1407,9
"1636",1408,9
"1640",1409,9
"1644",1410,9
"1648",1411,9
"1652",1412,9
"1656",1413,9
"1660",1414,9
"1664",1415,9
"1668",1416,9
"1672",1417,9
