"","t","k"
"1",1,7
"5",2,7
"9",3,7
"13",4,7
"17",5,7
"21",6,7
"25",7,7
"29",8,7
"33",9,7
"37",10,7
"41",11,7
"45",12,7
"49",13,7
"53",14,7
"57",15,7
"61",16,7
"65",17,7
"69",18,7
"73",19,7
"77",20,7
"81",21,7
"85",22,7
"89",23,7
"93",24,7
"97",25,7
"101",26,7
"105",27,7
"109",28,7
"113",29,7
"117",30,7
"121",31,7
"125",32,7
"129",33,7
"133",34,7
"137",35,7
"141",36,7
"145",37,7
"149",38,7
"153",39,7
"157",40,7
"161",41,7
"165",42,7
"169",43,7
"173",44,7
"177",45,7
"181",46,7
"185",47,7
"189",48,7
"193",49,7
"197",50,7
"201",51,7
"205",52,7
"209",53,7
"213",54,7
"217",55,7
"221",56,7
"225",57,7
"229",58,7
"233",59,7
"237",60,7
"241",61,7
"245",62,7
"249",63,7
"253",64,7
"257",65,7
"261",66,7
"265",67,7
"269",68,7
"273",69,7
"277",70,7
"281",71,7
"285",72,7
"289",73,7
"293",74,7
"297",75,7
"301",76,7
"305",77,7
"309",78,7
"313",79,7
"317",80,7
"321",81,7
"325",82,7
"329",83,7
"333",84,7
"337",85,7
"341",86,7
"345",87,7
"349",88,7
"353",89,7
"357",90,7
"361",91,7
"365",92,7
"369",93,7
"373",94,7
"377",95,7
"381",96,7
"385",97,7
"389",98,7
"393",99,7
"397",100,7
"401",101,7
"405",102,7
"409",103,7
"413",104,7
"417",105,7
"421",106,7
"425",107,7
"429",108,7
"433",109,7
"437",110,7
"441",111,7
"445",112,7
"449",113,7
"453",114,7
"457",115,7
"461",116,7
"465",117,7
"469",118,7
"473",119,7
"477",120,7
"481",121,7
"485",122,7
"489",123,7
"493",124,7
"497",125,7
"501",126,7
"505",127,7
"509",128,7
"513",129,7
"517",130,7
"521",131,7
"525",132,7
"529",133,7
"533",134,7
"537",135,7
"541",136,7
"545",137,7
"549",138,7
"553",139,7
"557",140,7
"561",141,7
"565",142,7
"569",143,7
"573",144,7
"577",145,7
"581",146,7
"585",147,7
"589",148,7
"593",149,7
