"","t","k"
"1",1000,21
"2",1001,21
"3",1002,21
"4",1003,21
"5",1004,21
"6",1005,21
"7",1006,21
"8",1007,21
"9",1008,21
"10",1009,21
"11",1010,21
"12",1011,21
"13",1012,21
"14",1013,21
"15",1014,21
"16",1015,21
"17",1016,21
"18",1017,21
"19",1018,21
"20",1019,21
"21",1020,21
"22",1021,21
"23",1022,21
"24",1023,21
"25",1024,21
"26",1025,21
"27",1026,21
"28",1027,21
"29",1028,21
"30",1029,21
"31",1030,21
"32",1031,21
"33",1032,21
"34",1033,21
"35",1034,21
"36",1035,21
"37",1036,21
"38",1037,21
"39",1038,21
"40",1039,21
"41",1040,21
"42",1041,21
"43",1042,21
"44",1043,21
"45",1044,21
"46",1045,21
"47",1046,21
"48",1047,21
"49",1048,21
"50",1049,21
"51",1050,21
"52",1051,21
"53",1052,21
"54",1053,21
"55",1054,21
"56",1055,21
"57",1056,21
"58",1057,21
"59",1058,21
"60",1059,21
"61",1060,21
"62",1061,21
"63",1062,21
"64",1063,21
"65",1064,21
"66",1065,21
"67",1066,21
"68",1067,21
"69",1068,21
"70",1069,21
"71",1070,21
"72",1071,21
"73",1072,21
"74",1073,21
"75",1074,21
"76",1075,21
"77",1076,21
"78",1077,21
"79",1078,21
"80",1079,21
"81",1080,21
"82",1081,21
"83",1082,21
"84",1083,21
"85",1084,21
"86",1085,21
"87",1086,21
"88",1087,21
"89",1088,21
"90",1089,21
"91",1090,21
"92",1091,21
"93",1092,21
"94",1093,21
"95",1094,21
"96",1095,21
"97",1096,21
"98",1097,21
"99",1098,21
"100",1099,21
"101",1100,21
"102",1101,21
"103",1102,21
"104",1103,21
"105",1104,21
"106",1105,21
"107",1106,21
"108",1107,21
"109",1108,21
"110",1109,21
"111",1110,21
"112",1111,21
"113",1112,21
"114",1113,21
"115",1114,21
"116",1115,21
"117",1116,21
"118",1117,21
"119",1118,21
"120",1119,21
"121",1120,21
"122",1121,21
"123",1122,21
"124",1123,21
"125",1124,21
"126",1125,21
"127",1126,21
"128",1127,21
"129",1128,21
"130",1129,21
"131",1130,21
"132",1131,21
"133",1132,21
"134",1133,21
"135",1134,21
"136",1135,21
"137",1136,21
"138",1137,21
"139",1138,21
"140",1139,21
"141",1140,21
"142",1141,21
"143",1142,21
"144",1143,21
"145",1144,21
"146",1145,21
"147",1146,21
"148",1147,21
"149",1148,21
"150",1149,21
"151",1150,21
"152",1151,21
"153",1152,21
"154",1153,21
"155",1154,21
"156",1155,21
"157",1156,22
"158",1157,22
"159",1158,22
"160",1159,22
